binomial,source,source_says_relation,source_says_accepted_parent,source_record_id,authority,synonym_type,contest_class,contest_reason,evidence,n_sources_accepted,n_sources_synonym,all_claimed_parents,name_full
Aa hartwegii,wcvp,synonym_of,Aa maderoi,13,Garay,Heterotypic,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Aa maderoi)",unknown,1,2,Aa maderoi,Aa hartwegii Garay
Aa hartwegii,wfo,synonym_of,Aa maderoi,wfo-0000246158,Garay,Unknown,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Aa maderoi)",unknown,1,2,Aa maderoi,Aa hartwegii Garay
Aa hartwegii,cites_csv,accepted,,55877,"Garay, 1978",,status_conflict,"accepted by cites_csv; treated as a synonym by wcvp, wfo (of Aa maderoi)",unknown,1,2,Aa maderoi,"Aa hartwegii Garay, 1978"
Aa lorentzii,wcvp,synonym_of,Aa achalensis,18,Schltr.,Heterotypic,status_conflict,"accepted by cites_csv, wfo; treated as a synonym by user_synonyms, wcvp (of Aa achalensis)",unknown,2,2,Aa achalensis,Aa lorentzii Schltr.
Aa lorentzii,wfo,accepted,,wfo-0000298187,Schltr.,,status_conflict,"accepted by cites_csv, wfo; treated as a synonym by user_synonyms, wcvp (of Aa achalensis)",unknown,2,2,Aa achalensis,Aa lorentzii Schltr.
Aa lorentzii,cites_csv,accepted,,80492,"Schltr., 1920",,status_conflict,"accepted by cites_csv, wfo; treated as a synonym by user_synonyms, wcvp (of Aa achalensis)",unknown,2,2,Aa achalensis,"Aa lorentzii Schltr., 1920"
Aa lorentzii,user_synonyms,synonym_of,Aa achalensis,17292,,Heterotypic,status_conflict,"accepted by cites_csv, wfo; treated as a synonym by user_synonyms, wcvp (of Aa achalensis)",unknown,2,2,Aa achalensis,Aa lorentzii
Aa nubigena,wcvp,synonym_of,Myrosmodes nubigena,26,(Rchb.f.) Schltr.,Homotypic,parent_conflict,"placed in 2 different parents: Myrosmodes nubigena, Myrosmodes nubigenum",unknown,0,2,Myrosmodes nubigena|Myrosmodes nubigenum,Aa nubigena (Rchb.f.) Schltr.
Aa nubigena,wfo,synonym_of,Myrosmodes nubigenum,wfo-0000504099,(Rchb.f.) Schltr.,Unknown,parent_conflict,"placed in 2 different parents: Myrosmodes nubigena, Myrosmodes nubigenum",unknown,0,2,Myrosmodes nubigena|Myrosmodes nubigenum,Aa nubigena (Rchb.f.) Schltr.
Aa ustulata,wcvp,synonym_of,Myrosmodes ustulata,37,Schltr.,Homotypic,parent_conflict,"placed in 2 different parents: Myrosmodes ustulata, Myrosmodes ustulatum",unknown,0,2,Myrosmodes ustulata|Myrosmodes ustulatum,Aa ustulata Schltr.
Aa ustulata,wfo,synonym_of,Myrosmodes ustulatum,wfo-0000832804,Schltr.,Unknown,parent_conflict,"placed in 2 different parents: Myrosmodes ustulata, Myrosmodes ustulatum",unknown,0,2,Myrosmodes ustulata|Myrosmodes ustulatum,Aa ustulata Schltr.
Acacallis caerulea,wcvp,synonym_of,Aganisia cyanea,466824,(Hoehne) Hoehne,Nomenclatural,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",unknown,0,3,Aganisia cyanea,Acacallis caerulea (Hoehne) Hoehne
Acacallis caerulea,wfo,synonym_of,Aganisia cyanea,wfo-0000921256,(Hoehne) Hoehne,Unknown,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",unknown,0,3,Aganisia cyanea,Acacallis caerulea (Hoehne) Hoehne
Acacallis caerulea,user_synonyms,synonym_of,Aganisia cyanea,13176,,Heterotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",unknown,0,3,Aganisia cyanea,Acacallis caerulea
Acacallis cyanea,wcvp,synonym_of,Aganisia cyanea,121,Lindl.,Homotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",unknown,0,3,Aganisia cyanea,Acacallis cyanea Lindl.
Acacallis cyanea,wfo,synonym_of,Aganisia cyanea,wfo-0000236758,Lindl.,Unknown,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",unknown,0,3,Aganisia cyanea,Acacallis cyanea Lindl.
Acacallis cyanea,user_synonyms,synonym_of,Aganisia cyanea,13174,,Homotypic,parent_contested,"all 3 source(s) place it in Aganisia cyanea, but Aganisia cyanea is itself contested",unknown,0,3,Aganisia cyanea,Acacallis cyanea
